tt,lat,lon,alt,roll,pitch,yaw,ins_tt,ins_lat,ins_lon,ins_alt,ins_roll,ins_pitch,ins_yaw,mag_1_c
10.0,39.169582427711994,-95.48899207137387,306.0,-0.8970398875680873,0.5231640323433556,-73.69606656156814,10.0,39.16960193779014,-95.48901084221104,305.44605378615887,-0.8950683410981584,0.529041365324854,-73.68495207810845,-104.39514532982368
11.0,39.17048414876776,-95.48581902810186,306.0,-0.9656436222345559,0.6012579822610421,-73.59311999195619,11.0,39.1705034585564,-95.48583772682986,305.3381488678231,-0.963689250872492,0.607158374311904,-73.58196927375838,-98.06542087898467
12.0,39.171387750175754,-95.48264562091128,306.0,-0.8576747446416831,0.4968952555305087,-73.61033377131426,12.0,39.171406855416464,-95.4826642331141,305.22285155857423,-0.8557529466929563,0.502830702749385,-73.59921654950497,-91.0175944376927
13.0,39.17229323851147,-95.47947185470588,306.0,-0.669089515327169,0.6150190351789986,-73.60335094814522,13.0,39.17231213745,-95.47949036811313,305.0999670515344,-0.6671548027153509,0.6209550978144588,-73.59222405315239,-80.89002272169928
14.0,39.173200620435786,-95.47629773374575,306.0,-0.44725138027061917,0.5539509120862726,-73.50222660835968,14.0,39.17321931346366,-95.47631613831562,304.9687063421649,-0.44532837340408077,0.5598840190613374,-73.49104667689072,-62.71825359217032
15.0,39.174109902521366,-95.47312326163896,306.0,-0.3776736795647622,0.46059844079094225,-73.33621954235508,15.0,39.17412838753766,-95.47314154696616,304.8307605551536,-0.37572995881908694,0.4665154317622642,-73.3250592496612,-42.51696305461166
16.0,39.17502109116868,-95.46994844133931,306.0,-0.38887298257149144,0.4762121612708175,-73.58990776914594,16.0,39.17503936526122,-95.46996659222151,304.6849197043573,-0.3869280758680952,0.482105802837849,-73.57875503610143,-20.244291442346864
17.0,39.17593419260937,-95.46677327513974,306.0,-0.5789707187574094,0.3907365212957964,-73.66771647103572,17.0,39.17595225071511,-95.46679128007816,304.53242552447676,-0.5770409807387311,0.3967046064522218,-73.65658420888823,5.934828941907988
18.0,39.17684921286811,-95.46359776463129,306.0,-0.33537633636330166,0.4037538859817728,-73.48551366580946,18.0,39.17686705111786,-95.46361561467499,304.373224699095,-0.3334416156122011,0.40967273119098946,-73.47437834252379,33.63992214284867
19.0,39.17776615762929,-95.46042191066846,306.0,-0.06849943670520361,0.46980476756774997,-73.54891448563528,19.0,39.17778377209003,-95.46043959376196,304.20983039720153,-0.06662376913602439,0.47579067483628174,-73.53780915929384,62.87603186271997
20.0,39.178685032094414,-95.45724571337166,306.0,-0.31799112448997663,0.23704080763762725,-73.56566068550035,20.0,39.1787024209502,-95.45726321637805,304.0408916306369,-0.3161500203491354,0.2430492162937028,-73.55457556741813,90.52775401037827
21.0,39.17960584091021,-95.45406917210984,306.0,-0.33446644102812456,0.2607345511987235,-73.36485429322387,21.0,39.17962299684318,-95.45408648391836,303.8662521449973,-0.3325553750311976,0.26672412204023194,-73.35370522911315,118.5115285646781
22.0,39.18052858819119,-95.45089228545305,306.0,-0.6792958367553238,-0.002356413910437914,-73.3658015155752,22.0,39.18054550380022,-95.45090939695619,303.68612332686695,-0.6774582264734541,0.003602165451881453,-73.35466425410277,146.6887464548051
23.0,39.18145327762845,-95.44771505115014,306.0,-0.5287502303790336,-0.3235347852951756,-73.09093062735252,23.0,39.18146994878173,-95.4477319451879,303.49979331040464,-0.5268453986634463,-0.3176016007474092,-73.07980126656616,168.868197762463
24.0,39.18237991260813,-95.44453746614343,306.0,-0.47136712828679106,-0.141346533140345,-73.04543348089217,24.0,39.18239633553281,-95.44455413133427,303.30882775033456,-0.4694162923241895,-0.13544891186273833,-73.03427492935175,188.2033765617403
25.0,39.18330849624311,-95.44135952661297,306.0,-0.5554394632764523,-0.14354879501423926,-72.87495333413796,25.0,39.18332466492695,-95.44137595352966,303.1129611147066,-0.553420975744337,-0.13762722637989547,-72.86382988662356,207.01511387803015
26.0,39.184239031308344,-95.43818122805175,306.0,-0.11680922636457813,-0.23406049160596773,-72.66244017543652,26.0,39.18425494128351,-95.43819740696114,302.9126659726244,-0.11475735177363412,-0.2281154101444261,-72.65138083906496,219.94763021240388
27.0,39.18517152013665,-95.43500256534749,306.0,-0.17653186636808035,-0.4035797546241128,-72.72219018298667,27.0,39.185187170579795,-95.43501848330364,302.7088942685441,-0.1745550029836917,-0.39766868961522556,-72.71112668153503,228.11948285087084
28.0,39.186105964530995,-95.43182353282316,306.0,0.11834390260083388,-0.6883314817464409,-72.60312879146075,28.0,39.18612135021004,-95.43183918178386,302.50151241616453,0.1202949340779547,-0.6823875537186992,-72.59199153601621,235.46734229121304
29.0,39.18704236574205,-95.42864412420438,306.0,0.00469035782965097,-0.8748713429846595,-72.87444982066516,29.0,39.18705748395521,-95.42865949084288,302.2894749446563,0.006627928405438285,-0.8688608148687822,-72.8633237186637,237.32693981043474
30.0,39.18798072452166,-95.42546433255625,306.0,0.15080030703040928,-0.8316228665814788,-72.40154166556133,30.0,39.187995569876364,-95.4254794036718,302.07244532439876,0.15283374027041743,-0.8256203381757014,-72.39040731332699,231.80157912081364
31.0,39.188921041179086,-95.42228415026999,306.0,0.2642647872822654,-0.5464882977139897,-72.34258493178581,31.0,39.188935610463176,-95.4222989143984,301.8528460732713,0.26635462821887,-0.5405000027193577,-72.33147396472674,225.04195763423525
32.0,39.18986331557615,-95.41910356909017,306.0,0.4128947331937005,-0.6338021210482411,-72.28429123082516,32.0,39.189877604798895,-95.41911801111746,301.6310248670945,0.4150125353809822,-0.6278613575466141,-72.27315385561076,213.5691515962866
